Survey Date,Carrie Lam,CY Leung,Donald Tsang,Tung
13-16/10/2002,,,,49.2
2-7/10/2002,,,,49
12-17/9/2002,,,,48.5
2-5/9/2002,,,,47.7
14-19/8/2002,,,,47
2-7/8/2002,,,,48
10-15/7/2002,,,,50.1
2-3/7/2002,,,,51.9
24-26/6/2002,,,,52.8
17-19/6/2002,,,,50.7
4-5/6/2002,,,,52.5
14-16/5/2002,,,,53.9
2-7/5/2002,,,,53.8
15-17/4/2002,,,,54.1
2-8/4/2002,,,,53.8
18-20/3/2002,,,,54.9
12-13/3/2002,,,,56.1
6/3/2002,,,,54.7
1-5/3/2002,,,,53.2
18-21/2/2002,,,,54.3
4-6/2/2002,,,,56.1
15-17/1/2002,,,,54.5
2-6/1/2002,,,,54.5
17-19/12/2001,,,,53.8
7-9/12/2001,,,,52.7
15-20/11/2001,,,,49.7
1-5/11/2001,,,,49.6
26-29/10/2001,,,,50.6
21-23/10/2001,,,,47.8
10/10/2001,,,,50.6
5-8/10/2001,,,,48.4
13-21/9/2001,,,,49.3
3-7/9/2001,,,,49.2
17-24/8/2001,,,,50.2
1-3/8/2001,,,,52.6
16-18/7/2001,,,,52.4
3-9/7/2001,,,,52.5
8-13/6/2001,,,,52.7
1-5/6/2001,,,,54
25-29/5/2001,,,,53.5
19-23/5/2001,,,,53.5
27/4-11/5/2001,,,,52.8
27-30/4/2001,,,,54.6
18-27/4/2001,,,,53.1
22/3-2/4/2001,,,,54.5
5-19/3/2001,,,,56.3
19-21/2/2001,,,,55.1
5-13/2/2001,,,,52.5
29-31/1/2001,,,,54.3
17-19/1/2001,,,,53.5
18-27/12/2000,,,,54.1
4-12/12/2000,,,,54.9
23-27/11/2000,,,,52.3
14-16/11/2000,,,,52.7
23-25/10/2000,,,,51.2
12-17/10/2000,,,,51.1
11/10/2000,,,,51
9-10/10/2000,,,,48.2
3-9/10/2000,,,,50.7
21-25/9/2000,,,,50.5
14-18/9/2000,,,,51.8
25-30/8/2000,,,,51.6
8-12/8/2000,,,,51.1
26-28/7/2000,,,,49.1
6-11/7/2000,,,,49.8
9-12/6/2000,,,,50.4
2-5/6/2000,,,,50
23-25/5/2000,,,,50.2
5-18/5/2000,,,,53.9
17/4/2000,,,,54
4/3/2000,,,,55.5
6-7/3/2000,,,,54.5
1/3/2000,,,,57.3
22-23/2/2000,,,,55.2
1-2/2/2000,,,,53.8
19-20/1/2000,,,,54.3
4/1/2000,,,,55.1
17/12/1999,,,,56.1
6/12/1999,,,,55.1
16-22/11/1999,,,,51.4
1-2/11/1999,,,,50.3
22/10/1999,,,,51.7
11-16/10/1999,,,,52.4
6/10/1999,,,,54.3
17-21/9/1999,,,,54
7-8/9/1999,,,,56.1
13/8/1999,,,,56.4
2/8/1999,,,,54.2
16-19/7/1999,,,,55.7
5/7/1999,,,,52.9
14/6/1999,,,,56.4
1/6/1999,,,,58.4
18/5/1999,,,,60.1
4/5/1999,,,,58
20/4/1999,,,,58.9
7-8/4/1999,,,,59
25/3/1999,,,,60.3
18/3/1999,,,,57.7
2/3/1999,,,,56.4
19/2/1999,,,,56.6
1/2/1999,,,,55.8
19-20/1/1999,,,,54.5
5/1/1999,,,,56.7
15/12/1998,,,,58.2
1-2/12/1998,,,,57.2
17-18/11/1998,,,,57.2
3/11/1998,,,,57.6
21/10/1998,,,,56
8-9/10/1998,,,,52.9
7/10/1998,,,,56
15/9/1998,,,,55.8
7/9/1998,,,,63.7
1/9/1998,,,,56.5
31/8/1998,,,,56.3
18-19/8/1998,,,,54.2
4/8/1998,,,,52.9
21/7/1998,,,,53.8
7/7/1998,,,,58.4
29/6/1998,,,,58
23/6/1998,,,,57.6
16/6/1998,,,,55
3-4/6/1998,,,,53.6
19/5/1998,,,,58.9
5/5/1998,,,,58.3
21/4/1998,,,,58.6
7/4/1998,,,,62.1
17/3/1998,,,,61.5
2/3/1998,,,,61.7
17/2/1998,,,,59.7
2-3/2/1998,,,,58.8
19/1/1998,,,,57.7
6/1/1998,,,,61.3
22-23/12/1997,,,,62.6
18-19/12/1997,,,,64
2-3/12/1997,,,,61.8
24-25/11/1997,,,,67.3
18/11/1997,,,,61.6
4-5/11/1997,,,,61.2
28-29/10/1997,,,,65.4
22-23/10/1997,,,,62.2
8/10/1997,,,,66.1
3-4/10/1997,,,,65.8
23-24/9/1997,,,,70.4
15-19/9/1997,,,,65.6
3-4/9/1997,,,,67.2
26-27/8/1997,,,,68.3
19/8/1997,,,,65.4
5/8/1997,,,,63.5
29-30/7/1997,,,,66.1
22/7/1997,,,,63.2
8/7/1997,,,,64.1
25/6/1997,,,,55.8
23-24/6/1997,,,,59.7
5-6/6/1997,,,,58.1
27/5/1997,,,,59.7
19-20/5/1997,,,,58.8
2-5/5/1997,,,,57.3
28-29/4/1997,,,,57.9
22/4-1/5/1997,,,,57.3
10-15/4/1997,,,,57.9
26/3/1997,,,,60.5
17-18/3/1997,,,,57.7
3-4/3/1997,,,,61.5
24/2/1997,,,,61.4
18-19/2/1997,,,,60.3
3-4/2/1997,,,,58.5
17-20/1/1997,,,,64.6
7-8/1/1997,,,,64.2
30/12/1996,,,,64.9
16-17/12/1996,,,,64
35410,,,,70.1
9/12/1996,,,,65
3-4/12/1996,,,,65.2
2/12/1996#,,,,67.2
25-26/11/1996,,,,69.4
18-19/11/1996,,,,66.1
11/11/1996,,,,66.8
6-7/11/1996,,,,66.1
23-24/10/1996,,,,65.7
29-31/8/1996,,,,59.1
